1,s,autumn,1.65,1.8,3.33,1.69
2,u,autumn,1.09,0.79,1.59,0.74
3,s,winter,2.39,0.36,2.06,0.81
4,u,winter,2.96,1.27,4.05,1.44
5,s,winter,4.16,2.16,6,2.48
6,u,winter,2.76,0.87,4.17,0.84
7,u,winter,1.08,0.85,3.45,0.37
8,s,winter,0.26,0.47,0.9,0.37
9,u,spring,2.53,1.08,3.65,1.33
10,s,spring,2.76,3.1,5.06,3.38
11,s,spring,1.07,0.64,1.95,0.69
12,u,spring,1.42,1.08,1.22,1.42
13,s,spring,0.24,0.44,0.94,0.44
14,u,spring,0.7,0.67,0.94,0.76
15,s,summer,0.97,1.66,2.21,1.13
16,u,summer,1.06,1.13,1.46,0.88
45,s,summer,0.13,0.27,0.35,0.17
46,u,summer,0.1,0.3,0.34,0.25
47,u,summer,0.38,0.58,0.67,0.78
48,s,summer,0.45,0.43,0.44,0.4
49,s,autumn,0.42,0.47,0.53,0.52
50,u,autumn,2.24,4.02,2.52,2.73
51,u,autumn,0.52,1.32,2.18,0.9
52,s,autumn,0.94,1.59,1.73,1.62
53,u,autumn,1.19,0.85,2.31,0.93
54,s,autumn,0.76,0.71,1.28,0.63
55,s,winter,0.13,0.59,0.91,0.42
56,u,winter,1.5,0.24,1.15,0.64
57,u,winter,1.03,0.22,1.88,0.3
58,s,winter,1.87,0.58,2.97,0.88
59,u,winter,1.85,1.36,2.17,0.76
60,s,winter,2.04,0.71,2.22,1.25
61,u,winter,1.44,1,1.64,1.08
62,s,winter,1.46,1.48,0.4,1.11
63,s,spring,5.08,1.77,4.2,3.43
64,u,spring,0.66,0.73,0.91,0.54
65,s,spring,0.49,0.55,0.51,0.39
66,u,spring,3.27,2.68,3.6,2.53
67,u,spring,1.33,0.43,2.18,0.81
68,s,spring,0.25,0.46,0.89,0.39
69,s,summer,0.69,0.49,0.69,0.86
70,u,summer,2.12,0.95,1.82,2.16
95,u,spring,1.45,1.47,2.2,1.7
96,s,spring,2.13,1.13,2.33,1.22
97,s,spring,0.02,0.08,0.24,0.07
98,u,spring,0.36,0.87,0.57,0.49
99,u,spring,0.72,0.99,0.98,0.71
100,s,spring,1.02,1.89,2.47,1.67
101,u,summer,0.18,1.42,0.71,0.73
102,s,summer,1.83,1.82,3.11,1.79
103,u,summer,0.08,0.4,0.57,0.19
104,s,summer,0,0.04,0.04,0
105,s,summer,0.83,0.38,0.7,0.44
106,u,summer,0.01,0.44,0.66,0.31
107,s,summer,2.65,0.85,1.48,0.96
108,u,summer,1.27,1.39,1.2,1.04
109,s,autumn,0.01,0.23,0.1,0.05
110,u,autumn,0.35,0.75,0.2,0.04
111,s,autumn,1.8,1.62,3.02,1.83
112,u,autumn,4.44,1.05,3.59,2.24
113,s,autumn,2.84,2.44,4.48,2.5
114,u,autumn,2.05,1.3,4.04,1.1
115,s,autumn,3.01,1.66,4.56,1.83
116,u,autumn,2.58,1.21,3.95,1.41
117,u,winter,2.22,0.61,2.68,0.74
118,s,winter,0.07,2.26,2.08,1.09
119,s,winter,1.62,1.16,2.87,0.79
120,u,winter,4.34,3.29,6.4,4.06
121,u,winter,1.03,0.58,1.77,0.4
122,s,winter,1.5,0.41,2.56,0.76
123,s,spring,1.52,1.62,2.86,1.53
124,u,spring,0.37,1.25,1.74,0.56
125,u,spring,2.14,1,4.39,1.74
126,s,spring,2.36,1.53,3.03,1.59
127,u,spring,1.71,2.03,3.24,1.91
128,s,spring,2.12,2.77,4.44,2.09
129,u,summer,1.38,2.11,3.01,1.59
130,s,summer,0.21,1.41,0.8,0.66
131,u,summer,0.48,0.59,0.68,0.68
132,s,summer,0.01,0.65,0.48,0.46
133,s,summer,0.15,0.13,0.42,0.22
134,u,summer,1.32,0.57,1.54,1.11
135,s,summer,2.26,1.04,1.27,1.76
136,u,summer,5.95,3.97,5.37,5.12
171,u,autumn,0.19,0.28,0.7,0.12
172,s,autumn,0.31,0.23,0.83,0.37
173,s,autumn,1.44,3.14,0.86,4.97
174,u,autumn,0.3,0.72,1.38,0.57
175,s,autumn,0.11,0.14,0.58,0.13
176,u,autumn,3.66,1.84,5.36,2.47
177,u,autumn,1.14,0.81,2.09,1.01
178,s,autumn,1.3,0.34,2.45,0.55
179,s,winter,0.05,0.38,0.9,0.24
180,u,winter,1.84,1.73,2.33,2.36
181,s,winter,4.24,1.67,5.48,2.35
182,u,winter,1.99,1.9,3.67,2.23
183,u,winter,2.44,1.52,4.01,1.16
184,s,winter,2.21,2.36,3.25,1.63
185,s,winter,0.8,2.25,2.79,1.08
186,u,winter,9.42,3.6,7.84,6
187,s,spring,2.74,3.03,6.39,2.67
188,u,spring,0,0.19,0.06,0.36
189,s,spring,0.96,0.64,1.24,0.58
190,u,spring,1.38,1.86,2.91,1.36
191,s,spring,1.22,2.28,1.58,1.17
192,u,spring,2.46,2.47,2.39,2.37
193,s,spring,0.05,0.02,0.09,0.02
194,u,spring,0.61,0.87,1.35,0.92
